,EOpp0,EOpp1,EOdd,f1_score_B,f1_score_W,recall_B,recall_W,precision_B,precision_W
Fully connected NN,0.3169338712816973,0.32446337881120485,0.6489267576224097,0.9153962564715252,0.7166666666666667,0.9026862026862027,0.6944444444444443,0.9305555555555555,0.75
Logistic Regression,0.22474747474747478,0.34157509157509164,0.30943298081229115,0.8707312440645772,0.7523809523809524,0.8137973137973137,0.6944444444444443,0.9419191919191919,0.8333333333333334
Random Forest,0.08566849816849816,0.22405372405372406,0.2659505245712142,0.9397967623774076,0.7962962962962963,0.9505494505494506,0.7777777777777777,0.9297161172161172,0.9333333333333332
